episodes,score,scored_by,rank,popularity,members,favorites,duration_min,aired_from_year,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Fantasy,Game,Harem,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,Yaoi,Yuri
0.38461538461538464,0.5701754385964909,7.161536020311012,-0.5115241635687733,-0.6439171944418187,6.5831849463400545,19.51048951048951,0.0,0.15384615384615385,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.4615384615384615,0.7982456140350873,4.620332169681583,-0.6277217206585236,-0.6183949333585405,4.661076086433418,17.902097902097903,0.0,-0.23076923076923078,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.3846153846153846,0.4999999999999996,1.7600232730350154,-0.4618162506638343,-0.4658285282162775,1.4396506087877183,5.475524475524476,0.0,-0.15384615384615385,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.3846153846153846,1.0789473684210533,1.7268063048767588,-0.7169410515135423,-0.5144153511674071,1.9975455989219886,23.251748251748253,-0.7272727272727273,-0.6153846153846154,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3846153846153846,1.4824561403508771,5.496297471702105,-0.7715347849176846,-0.6070517062104168,4.150031281582367,14.426573426573427,0.0,0.15384615384615385,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.3076923076923075,0.9210526315789467,0.9395958954829154,-0.6704195432819968,-0.3794309481047358,0.8500649694403003,5.643356643356643,0.0,-0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4615384615384615,0.2456140350877188,0.3072569554638739,-0.2311205523101434,-0.21684469231496362,0.30030319072140144,0.7202797202797203,0.0,-0.5384615384615384,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.3076923076923077,0.6491228070175434,6.465196233999788,-0.5557089750398301,-0.6248227620758106,5.060229077433948,7.384615384615385,0.0,-0.23076923076923078,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.3076923076923077,1.105263157894737,2.6475193060404103,-0.7224641529474243,-0.5008034785896588,1.8134173925597958,1.8391608391608392,-0.09090909090909091,-0.15384615384615385,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.4615384615384615,1.1929824561403508,17.522638315878556,-0.7386086032926181,-0.6745439077417525,12.718249193897686,168.2027972027972,-0.09090909090909091,-0.3076923076923077,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
